manuscript_id,title,filename,matches,mismatches
F1627B,"The spirit lasts but in what mode",2258.tei,"",""
F566B,"But little carmine hath her face",776.tei,"(F566A,But little carmine hath her face,775.tei)",""
F1505A,"Their barricade against the sky",2066.tei,"(F1505B,Their barricade against the sky,2067.tei)",""
F1172A,"The incidents of love",1547.tei,"",""
F1175C,"Contained in this short life",1553.tei,"",""
F926A,"I stepped from plank to plank",1235.tei,"",""
F1057A,"Embarrassment of one another",1396.tei,"",""
F119A,"If this is "fading"",170.tei,"",""
F1043A,"Superiority to fate",1382.tei,"",""
F1031A,"Trudging to Eden looking backward",1369.tei,"",""
F44A,"The guest is gold and crimson",65.tei,"(F44B,The guest is gold and crimson,66.tei)",""
F1019A,"She rose as high as his occasion",1355.tei,"",""
F40A,"I hav'nt told my garden yet",59.tei,"",""
F1085A,"Who is the east?",1427.tei,"",""
F1349B,"Not with a club the heart is broken",1802.tei,"",""
F1657A,"Betrothed to righteousness might be",2310.tei,"",""
F1673A,"Go thy great way!",2338.tei,"(F1673B,Go thy great way!,2339.tei)",""
F1229A,"The days that we can spare",1630.tei,"(F1229C,The days that we can spare,1632.tei)",""
F1673B,"Go thy great way!",2339.tei,"(F1673A,Go thy great way!,2338.tei)",""
F1221A,"It came at last but prompter death",1618.tei,"",""
F39A,"I never lost as much but twice",58.tei,"",""
F120A,"As watchers hang opon the east",171.tei,"",""
F1044A,"Revolution is the pod",1383.tei,"",""
F1058A,"To one denied to drink",1397.tei,"",""
F925A,"The lady feeds her little bird",1234.tei,"",""
F1171B,"The suburbs of a secret",1546.tei,"(F1171A,The suburbs of a secret,1545.tei)",""
F1505B,"Their barricade against the sky",2067.tei,"(F1505A,Their barricade against the sky,2066.tei)",""
F1202A,"Of so divine a loss",1591.tei,"",""
F1436A,"To own a Susan of my own",1963.tei,"",""
F159A,"She went as quiet as the dew",239.tei,"",""
F1429A,"I shall not murmur if at last",1949.tei,"",""
F1633A,"Within that little hive",2267.tei,"",""
F1637A.2,"There are two Mays",2273.tei,"",""
F771A,"We miss her not because we see",1020.tei,"(F771B,We miss her not because we see,1021.tei)",""
F1305A,"The butterfly in honored dust",1746.tei,"(F1305B,The butterfly in honored dust,1747.tei)",""
F744D,"She dwelleth in the ground",991.tei,"(F744C,She dwelleth in the ground,990.tei)",""
F1204A,"Lest they should come is all my fear",1593.tei,"",""
F1198A,"This slow day moved along",1587.tei,"",""
F566A,"But little carmine hath her face",775.tei,"(F566B,But little carmine hath her face,776.tei)",""
F1504B,"The sweets of pillage can be known",2065.tei,"",""
F1170A,"Of nature I shall have enough",1544.tei,"",""
F915A,"What shall I do when the summer troubles",1222.tei,"",""
F1042A,"When they come back - if blossoms do",1381.tei,"",""
F121A,"Her breast is fit for pearls",173.tei,"",""
F1056A,"Could I but ride indefinite",1395.tei,"",""
F71A,"My friend must be a bird",99.tei,"",""
F1078B,"Of silken speech and specious shoe",1418.tei,"",""
F44B,"The guest is gold and crimson",66.tei,"(F44A,The guest is gold and crimson,65.tei)",""
F1008A,"How still the bells in steeples stand",1342.tei,"",""
F1082A,"That such have died enable us",1424.tei,"",""
F5A,"One sister have I in our house",8.tei,"","(F5B,One sister have I in the house,9.tei)"
F895C,"Further in summer than the birds",1197.tei,"(F895D,Further in summer than the birds,1198.tei)",""
F1361A,"Let me not mar that perfect dream",1829.tei,"",""
F1780A,"Sweet is the swamp with it's secrets",2449.tei,"",""
F1229C,"The days that we can spare",1632.tei,"(F1229A,The days that we can spare,1630.tei)",""
F1227C,"Step lightly on this narrow spot",1627.tei,"",""
F1779A,"To make a prairie it takes a clover and one bee",2448.tei,"",""
F5B,"One sister have I in the house",9.tei,"","(F5A,One sister have I in our house,8.tei)"
F1021A,"Which is best? Heaven",1357.tei,"",""
F1055A,"To whom the mornings stand for nights",1394.tei,"",""
F1171A,"The suburbs of a secret",1545.tei,"(F1171B,The suburbs of a secret,1546.tei)",""
F928A,"The bird must sing to earn the crumb",1237.tei,"",""
F1197A,"We never know how high we are",1586.tei,"",""
F744C,"She dwelleth in the ground",990.tei,"(F744D,She dwelleth in the ground,991.tei)",""
F771B,"We miss her not because we see",1021.tei,"(F771A,We miss her not because we see,1020.tei)",""
F1305B,"The butterfly in honored dust",1747.tei,"(F1305A,The butterfly in honored dust,1746.tei)",""
F1648A,"A flower will not trouble her",2299.tei,"",""
F1434A,"To the unwilling dust",1960.tei,"(F1434A.1,To the unwilling dust,1958.tei)",""
F158A,"Where I have lost I softer tread",238.tei,"",""
F132B,"Just lost, when I was saved!",200.tei,"",""
F1342B,"No man saw awe, nor to his house",1794.tei,"",""
F1434A.1,"To the unwilling dust",1958.tei,"(F1434A,To the unwilling dust,1960.tei)",""
F1642B,"A world made penniless by that departure",2289.tei,"",""
F1303A,"Confirming all who analyze",1743.tei,"",""
F1207A,"The voice that stands for floods to me",1596.tei,"",""
F924A,"On that dear frame the years had worn",1233.tei,"",""
F1501A,"A little overflowing word",2060.tei,"",""
F1509B,"How destitute is he",2074.tei,"",""
F1045A,"We learn in the retreating",1384.tei,"",""
F1013A,"Superfluous were the sun",1347.tei,"",""
F1017A,"The soul should always stand ajar",1353.tei,"",""
F1091A,"To own the art within the soul",1435.tei,"",""
F54A,""Lethe" in my flower",76.tei,"",""
F1527A,"Her spirit rose to such a hight",2100.tei,"",""
F1368A,"Opon a lilac sea",1838.tei,"",""
F893A,"Her sovreign people",1192.tei,"",""
F1663A,"Upon his saddle sprung a bird",2316.tei,"",""
F1650B,"The pedigree of honey",2302.tei,"(F1650C,The pedigree of honey,2303.tei)",""
F1650C,"The pedigree of honey",2303.tei,"(F1650B,The pedigree of honey,2302.tei)",""
F1233A,"I should not dare to be so sad",1636.tei,"",""
F1789A,"The saddest noise, the sweetest noise",2459.tei,"",""
F852C,"It was a grave yet bore no stone",1144.tei,"",""
F42B,"There is a word",62.tei,"(F42A,There is a word,61.tei)",""
F1016B,"Ideals are the fairy oil",1352.tei,"",""
F1090B,"This quiet dust was gentlemen and ladies",1434.tei,"",""
F1080A,"How happy I was if I could forget",1420.tei,"",""
F1046A,"What twigs we held by",1385.tei,"",""
F1185A,"Had we known the ton she bore",1568.tei,"",""
F1167A,"I bet with every wind that blew",1540.tei,"",""
F923B,"They wont frown always - some sweet day",1232.tei,"",""
F738B,"No other can reduce",981.tei,"",""
F1195A,"Society for me my misery",1583.tei,"",""
F1208A,""Remember me" implored the thief!",1597.tei,"",""
F1638B,"Declaiming waters none may dread",2277.tei,"",""
F151B,"Papa above!",229.tei,"",""
F142A,"Cocoon above! Cocoon below!",215.tei,"",""
F1343A,"To flee from memory",1795.tei,"",""
F1345A,"The most pathetic thing I do",1797.tei,"",""
F1300B,"Silence is all we dread",1740.tei,"",""
F1194E,"We like March - his shoes are purple",1581.tei,"(F1194D,We like March - his shoes are purple,1580.tei)",""
F565A,"Reverse cannot befall",773.tei,"",""
F1206A,"Of Paul and Silas it is said",1595.tei,"",""
F1169A,"Some days retired from the rest",1542.tei,"(F1169B,Some days retired from the rest,1543.tei)",""
F1178A,"The life we have is very great",1556.tei,"",""
F579B,"The soul unto itself",798.tei,"(F579C,The soul unto itself,799.tei)",""
F1503B,"If wrecked opon the bay of thought",2063.tei,"",""
F1092A,"There is a finished feeling",1436.tei,"",""
F1015A,"The fingers of the light",1350.tei,"",""
F32A,"The morns are meeker than they were",48.tei,"(F32B,The morns are meeker than they were,49.tei)",""
F52A,"Bless God, he went as soldiers",74.tei,"",""
F1039B,"My heart opon a little plate",1378.tei,"",""
F1539A,"Mine enemy is growing old",2117.tei,"(F1539B,Mine enemy is growing old,2118.tei)|(F1539C,Mine enemy is growing old,2119.tei)",""
F892A,"Fame's boys and girls, who never die",1191.tei,"",""
F1223A,"Immortal is an ample word",1620.tei,"",""
F1670A,"The jay his castanet has struck",2329.tei,"",""
F1216A,"A wind that rose though not a leaf",1609.tei,"(F1216B,A wind that rose though not a leaf,1610.tei)|(F1216B,A wind that rose though not a leaf,1610.tei)",""
F1662A,"The going from a world we know",2315.tei,"",""
F1661A,"Not sickness stains the brave",2314.tei,"",""
F1649A,"Back from the cordial grave I drag thee",2300.tei,"",""
F42A,"There is a word",61.tei,"(F42B,There is a word,62.tei)",""
F32B,"The morns are meeker than they were",49.tei,"(F32A,The morns are meeker than they were,48.tei)",""
F1047A,"We miss a kinsman more",1386.tei,"",""
F112C,"Success is counted sweetest",160.tei,"",""
F1053A,"Because 'twas riches I could own",1392.tei,"",""
F579C,"The soul unto itself",799.tei,"(F579B,The soul unto itself,798.tei)",""
F1169B,"Some days retired from the rest",1543.tei,"(F1169A,Some days retired from the rest,1542.tei)",""
F1205A,"All men for honor hardest work",1594.tei,"",""
F1194D,"We like March - his shoes are purple",1580.tei,"(F1194E,We like March - his shoes are purple,1581.tei)",""
F1521A,"The face in evanescence lain",2089.tei,"(F1521B,The face in evanescence lain,2090.tei)",""
F1628B,"Immured in heaven!",2260.tei,"",""
F1439A,"Unworthy of her breast",1966.tei,"",""
F134A,"Did the harebell loose her girdle",202.tei,"",""
F397A,"A train went through a burial gate",564.tei,"",""
F143A,"Exultation is the going",216.tei,"",""
